GEOID10,GEOID20,WEIGHT,PAREA
360470001001000,360470001001005,1.0,1.0
360470001001001,360470001001000,1.0,1.0
360470001001002,360470001001001,1.0,1.0
360470001001003,360470001001002,1.0,1.0
360470001001004,360470001001007,1.0,1.0
360470001001005,360470001001006,1.0,1.0
360470001001006,360470001001002,1.0,1.0
360470001001007,360470001001002,1.0,1.0
360470001001008,360470001001004,1.0,1.0
360470001001009,360470001001002,1.0,1.0
360470001001010,360470001001004,0.036383327975,0.179735830129
360470001001010,360470001001011,0.963616672025,0.820264169871
360470001001011,360470001001003,1.0,1.0
360470001001012,360470001001009,1.0,1.0
360470001001013,360470001001010,1.0,1.0
360470001001014,360470001001008,1.0,1.0
360470001002000,360470001002000,1.0,1.0
360470001002001,360470001002001,1.0,1.0
360470001002002,360470001002002,1.0,1.0
360470001002003,360470001002003,1.0,1.0
360470001003000,360470001003000,1.0,1.0
360470001003001,360470001003000,1.0,1.0
360470001003002,360470001003001,1.0,1.0
360470001003003,360470001003002,1.0,1.0
360470001003004,360470001003003,1.0,1.0
360470001003005,360470001003004,1.0,1.0
360470001003006,360470001003005,1.0,1.0
360470001004000,360470001004000,1.0,1.0
360470001004001,360470001004001,1.0,1.0
360470001004002,360470001004002,1.0,1.0
360470002001000,360470002001000,1.0,1.0
360470002001001,360470002001002,1.0,1.0
360470002001002,360470002001001,1.0,1.0
360470002001003,360470002001016,1.0,1.0
360470002001004,360470002001017,1.0,1.0
360470002001005,360470002001008,1.0,1.0
360470002001006,360470002001009,1.0,1.0
360470002001007,360470002001010,1.0,1.0
360470002001008,360470002001011,1.0,1.0
360470002001009,360470002001012,1.0,1.0
360470002001010,360470002001013,1.0,1.0
360470002001011,360470002001014,1.0,1.0
360470002001012,360470002001015,1.0,1.0
360470002001013,360470002001007,1.0,1.0
360470002001014,360470002001007,1.0,1.0
360470002001015,360470002001005,0.52385612919,0.52385612919
360470002001015,360470002001006,0.47614387081,0.47614387081
360470002001016,360470002001005,0.587674573265,0.587674573265
360470002001016,360470002001006,0.412325426735,0.412325426735
360470002001017,360470002001003,0.0,0.438901642239
360470002001017,360470002001004,1.0,0.561098357761
360470002001018,360470002001018,0.472665699081,0.472665699081
360470002001018,360470002001019,0.527334300919,0.527334300919
360470002001019,360470002001018,0.502177068215,0.502177068215
360470002001019,360470002001019,0.497822931785,0.497822931785
360470003011000,360470003011000,1.0,1.0
360470003011001,360470003011001,1.0,1.0
360470003012000,360470003012000,1.0,1.0
